,Unnamed: 0,X,Y,CCN,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,OBJECTID,PSA_ID,DistrictID,OFFENSE_Code,METHOD_Code,CRIME_TYPE,AGE,TIME_TO_REPORT,Year,Month,Day,hour,dayofyear,week,weekofyear,dayofweek,weekday,quarter
Unnamed: 0,1.0,-0.007817574529341512,0.016196254597936062,0.9888914311115333,-0.007824068339987863,0.016195150364087384,-0.01493308639716108,-0.013869162083130512,-0.025426571103393702,-0.025870039279777872,-0.020665280172174276,-0.002057149447855305,-0.011087190556335868,0.0161962550268599,-0.00781757308435246,-0.33420525145207247,-0.025776508522309845,-0.025633789014513225,-0.07124530768858482,-0.03278775265570836,0.058409171364815236,-0.0004432091569538725,0.016313540405773864,0.9867423797655963,-0.03993862455826986,0.004601089332175331,0.02317437908677935,-0.04024535862944802,0.0056359946801439655,-0.03728490851351208,-0.01210636692238645,-0.01210636692238645,-0.0427471898823718
X,-0.007817574529341512,1.0,-0.4473180183639191,-0.00588174020250045,0.9999999455158115,-0.44732082275320617,0.7333470429751101,0.7280512600031609,0.6065835019757471,0.6072923858944154,0.7474468083493466,0.6448619750278233,0.5877393745154583,-0.44731805263554597,1.000000000000016,0.0026814713434032736,0.6072267407903287,0.6066844340386378,0.22086470902629265,0.14357516098858764,-0.1674840667775156,-0.0027600764793580456,-0.02529429918767938,-0.002124935399348711,0.005544416340590949,0.008136850672048923,-0.023743799272206417,0.006183297412912306,0.007707706029858804,0.004893828331041536,-0.01246201161212485,-0.01246201161212485,0.006864295587538262
Y,0.016196254597936062,-0.4473180183639191,1.0,0.016367467274584938,-0.447246915067038,0.9999999711472313,-0.6105532135425066,-0.612355666237386,-0.3505906937782624,-0.35396348901259045,-0.5542082161993748,-0.5322149926484707,-0.550560517093257,0.9999999999999951,-0.4473179761457299,-0.016731697060040327,-0.353839377932578,-0.350638005171503,-0.112885595570305,-0.10749986265296906,0.12127398088499898,-0.0035926947604021943,0.009688146002709116,0.015073713667262002,-0.007391691366254679,-0.0056240755544456475,-0.0046843845574282015,-0.007908884418810817,-0.005232797839781207,-0.007025685591283902,0.010467819057210342,0.010467819057210342,-0.008312497066719882
CCN,0.9888914311115333,-0.00588174020250045,0.016367467274584938,1.0,-0.005887424529301688,0.016366819535951635,-0.012472098973565444,-0.011516700957056265,-0.022484617583726222,-0.022910491192689276,-0.01779658071974299,-0.001869025394670012,-0.009922226436191464,0.016367467663452456,-0.005881738720841691,-0.3403781757764345,-0.022804108584871044,-0.022658213641901348,-0.07193538706799799,-0.03281378680669474,0.05907662017742349,-0.0005557541653296088,0.014694175161649387,0.9976783535405482,-0.08686922398879875,-0.00030842783041814897,0.023075052407399304,-0.08745823027839396,0.0008501045106966885,-0.08358068326183722,-0.012267890995501829,-0.012267890995501829,-0.0894739298065324
XBLOCK,-0.007824068339987863,0.9999999455158115,-0.447246915067038,-0.005887424529301688,1.0,-0.44724967752766054,0.7333860836145715,0.72809077797316,0.6066537287822207,0.6073616315286299,0.7475131274313375,0.6447421879297576,0.5877368113777892,-0.4472469493398911,0.99999994551908,0.002679601770089227,0.6072960431212128,0.6067547438486309,0.22088896725403068,0.14358631518407464,-0.16749459691166496,-0.0027608644094792127,-0.02529644451360519,-0.0021300925644750037,0.0055426982493639865,0.008138062499486528,-0.023743208584844785,0.006181664228424452,0.007708839964930408,0.004892316216156717,-0.01247134145010562,-0.01247134145010562,0.00686248024693035
YBLOCK,0.016195150364087384,-0.44732082275320617,0.9999999711472313,0.016366819535951635,-0.44724967752766054,1.0,-0.6105513237789729,-0.6123492912061405,-0.3505752081102684,-0.3539481192263561,-0.5541953724532727,-0.5322631618639273,-0.5505946987232351,0.9999999711474141,-0.4473207805352221,-0.016732111282607542,-0.3538239674607773,-0.35062248319752,-0.11288319151711143,-0.10749916863641303,0.12127565493518234,-0.0035923727457627336,0.009689549638460755,0.015073109223805335,-0.007392884436190515,-0.005623739508048435,-0.00468204494799913,-0.0079100608149909,-0.005232611471144614,-0.007026838065140115,0.0104634032770903,0.0104634032770903,-0.00831378594787225
WARD,-0.01493308639716108,0.7333470429751101,-0.6105532135425066,-0.012472098973565444,0.7333860836145715,-0.6105513237789729,1.0,0.9956460959688995,0.5810624672177355,0.5817377220901115,0.9026867452932669,0.5616391955061185,0.5894181186614831,-0.610553233156173,0.7333470265396094,0.006136214961281868,0.5814798383421798,0.5810096099814019,0.2178612647113845,0.14733466145913648,-0.16499159947028852,0.0008199187468186996,-0.020377283257846927,-0.009105206695540867,0.005612450292251014,0.008625741608603075,-0.012657518897598303,0.0063046524062531405,0.007870688827904242,0.005077196008704433,-0.029379866338541148,-0.029379866338541148,0.007027875772691177
ANC,-0.013869162083130512,0.7280512600031609,-0.612355666237386,-0.011516700957056265,0.72809077797316,-0.6123492912061405,0.9956460959688995,1.0,0.5805577450902173,0.581213209740976,0.8979485032647141,0.5559218307177347,0.5825041569415954,-0.6123556855154628,0.7280512433310882,0.006327303885096157,0.5809370877633814,0.5804862447812501,0.21688283108128403,0.14693123699639749,-0.16466853763387684,0.0008368742448733223,-0.019946193390220513,-0.008162670449524876,0.005119686700683933,0.008715646180794208,-0.011301439577988804,0.00582205487916772,0.00799837725653373,0.004607366097726643,-0.029576960088290322,-0.029576960088290322,0.006477487031954761
DISTRICT,-0.025426571103393702,0.6065835019757471,-0.3505906937782624,-0.022484617583726222,0.6066537287822207,-0.3505752081102684,0.5810624672177355,0.5805577450902173,1.0,0.9996206965268217,0.6547267157702661,0.34575161040635494,0.3800930568367091,-0.3505907131391825,0.6065834969199215,0.010103198472423488,0.9996201566547696,0.9996932671725376,0.251773514222342,0.1704070335032368,-0.1960394214218134,-0.0015535836803393715,-0.027387814507028423,-0.017774418370817342,0.002891726198056422,0.003654011661286668,-0.03353130084015267,0.0031535325937799767,0.0032233088490093683,0.0017337703133699371,-0.01194702364460451,-0.01194702364460451,0.0037468970123400954
PSA,-0.025870039279777872,0.6072923858944154,-0.35396348901259045,-0.022910491192689276,0.6073616315286299,-0.3539481192263561,0.5817377220901115,0.581213209740976,0.9996206965268217,1.0,0.655368721394899,0.3477551039344876,0.37916075962743917,-0.3539635083452519,0.607292380689383,0.010955405300987556,1.0,0.9999274155677554,0.251908763420501,0.17068991435008696,-0.19632794106663387,-0.0015085280635514671,-0.027379979316167112,-0.018201578845499448,0.0028637084056569273,0.0036686231896372995,-0.033531254357040456,0.0031282552207173393,0.0032515151736315505,0.0017103313606401794,-0.012081114815420999,-0.012081114815420999,0.0037115688264963633
